,propertyCode,price,propertyType,size,exterior,rooms,bathrooms,address,municipality,district,latitude,longitude,distance,status,newDevelopment,newDevelopmentFinished,priceByArea,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,neighborhood,floor,hasLift,parkingSpace.parkingSpacePrice,topNewDevelopment
7546,90155785,130000,flat,73.0,1,2,2,Calle camilo jose cela,Humanes de Madrid,nan,40.2565,-3.8228,20488,good,0,0,1781,0,0,nan,2,1,,0
7547,90155885,270000,chalet,214.0,0,4,3,"Calle de Cuba, 19",Fuenlabrada,La Avanzada - La Cueva,40.2907,-3.7855,15652,good,0,0,1262,0,0,nan,nan,0,,0
7548,90155863,220000,flat,49.0,0,1,1,Calle de blasco de garay,Madrid,Chamberí,40.4345,-3.7105,2073,good,0,0,4490,0,0,Arapiles,2,1,,0
7549,90091943,69000,flat,39.0,1,2,1,Calle Emilio Ortuño,Madrid,Puente de Vallecas,40.3991,-3.6663,3691,good,0,0,1769,0,0,Numancia,1,0,,0
7550,85450953,112858,flat,116.0,0,3,2,"Plaza de España, 30",Torrejón de la Calzada,nan,40.2006,-3.7991,25367,good,0,0,973,0,0,nan,3,0,,0
7551,88443806,77900,flat,67.0,1,3,1,"Calle de San Jose, 28",Leganés,La Fortuna,40.3584,-3.7788,9105,renew,0,0,1163,0,0,La Fortuna,bj,0,,0
7552,89423115,187000,flat,99.0,1,3,2,"CEUTA, 2",Torrejón de Ardoz,Noreste,40.4642,-3.4627,21028,good,0,0,1889,0,0,nan,2,1,,0
7553,89431509,187000,flat,99.0,0,3,2,"Calle Ceuta, 2",Torrejón de Ardoz,Noreste,40.4642,-3.4627,21028,nan,0,0,1889,0,0,nan,2,0,,0
7554,89964113,85000,flat,63.0,1,2,1,"Calle Angosta, 3",Madrid,Villaverde,40.3441,-3.7119,8101,good,0,0,1349,0,0,San Andrés,3,0,,0
7555,90140635,85000,flat,62.0,0,2,1,"Calle Angosta, 3",Madrid,Villaverde,40.3441,-3.7119,8101,nan,0,0,1371,0,0,San Andrés,3,0,,0
7556,90149983,89900,flat,50.0,1,1,1,Calle Calderillo,Parla,Calle Pinto-San Roque,40.2372,-3.7657,20645,good,0,0,1798,0,0,nan,bj,1,,0
7557,89427923,99000,flat,80.0,1,3,1,lima,Fuenlabrada,La Avanzada - La Cueva,40.2917,-3.7911,15770,renew,0,0,1238,0,0,nan,7,1,,0
7558,89431477,99000,flat,75.0,0,3,1,"Calle de Lima, 38 -42",Fuenlabrada,La Avanzada - La Cueva,40.2906,-3.7894,15802,nan,0,0,1320,0,0,nan,nan,0,,0
